,feedback,mark
71502,хорошая нравиться! только вот на собачье ленточка оторвалась! и ниток не отрезанных по всей жилетке много!и вешалки почему нет!?а так на каждый день норм! размер взяла L  на размер 82-67-92 люблю когда свободно! так она и не намного свободна на мне!!!,positive
6845,"Товар не пришёл. Открыла спор, алиэкспресс вернули деньги ",negative
18923,качество на 2,negative
4174,"заказала товар в апреле, до сих пор не пришел. Открыла спор,продавец ничего не ответил",negative
77352,"жилет отлично,только чуть малннький",positive
58816,Качество хорошее и доставка супер быстрая.,positive
12604,"свитер не соответствует фото.  на самом деле очень короткая поддергайка (по спинке в разложенном  виде всего  45 см, а не 59 как заявлено в описании), при надевании становится еще короче. едва прикрывает пупок.  при поднятии рук вообще ничего не прикрывает. ПОСТОЯННО задирается, оголяя спину. носить невозможно. на заявленный элегантный свитер никак не тянет. качество не очень, нитки торчат из швов даже на лицевой стороне. шов на рукаве вообще то ли не прошит, то ли разошелся. короче, придется ремонтировать. кстати, рукав тоже не 60 см, а всего 53. могу рекомендовать сей товар только очень худым и ОЧЕНЬ низкорослым.  а продавец - обманщик. открыла спор.",negative
58454,"Отличное платье для летних вечеров, пошито качественно, немного мнется. Размер 4ХL на 56
Продавца рекомендую, товар тоже!!!",positive
13562,"Девочки, взяла 5 хл. а оно, это изделие на s  даже не тянет: т.к. от ремешка на шее до НАЧАЛА пайеток КОИМИ ОБОЗНАЧЕНА ГРУДЬ всего 12 см. и получается что круги пайеток груди у шеи, треугольник на пупке, а полоска сзади даже прикрывает сантиметра 3 попы. Так ржачно смотрится! ))))))))) в связи с этим вопрос: на какую маленькую девочку сшита эта хрень? Вобщем, ЕСЛИ ВЫ НЕ ШКОЛЬНИЦА  И НЕ ИЗ КИТАЯ, ТО НЕ ЗАКАЗЫВАЙТЕ ЭТУ ХРЕНЬ, ПОТОМУ ЧТО ОДЕТЬ СТЫДНО С ТРЕУГОЛЬНИКОМ НА ТАЛИИ И КРУГАМИ У ШЕИ, а выбросить жалко и ни подаришь никому, т.к. девочкам  7-8 классов рано такое дарить, а взрослых таких лилипуток нет.  ДЕНЬГИ ВЫБРОШЕННЫЕ НА ВЕТЕР ((((((((",negative
46625,.,neautral
23852,"костюм маломерит сильно,на свой s взяла м и он в упор!!!! на мой рост 175 очень короткие рукава  и штаны как бриджи,мелкие китайцы блин!!!!качество так хорошее",negative
28524,куртка пришла за 16 дней за это прдавцу 5.несколько ниток торчали на куртке но это не критично.но у меня не исчезает мысль  что куртка жива до первой стирки . наполнителя в куртке пуха или пера очень мало короче качеством куртки я не довольна с таким качеством можно было за 600 р. продавать а не за 1370.,neautral
19759,Товар не пришёл и продавец отказался возвращать деньги. 3 месяца ждала заказ. Очень недобросовестный продавец. Не заказывайте!,negative
13126,"заказ так и не пришел,время истекло и спорт открыть нельзя. ждала очки больше друзей месцев",negative
12509,Рукав разошёлся по шву. Одела один раз,negative
57779,Куртка супер даже не ожидала. Заказ пришёл меньше чем за три недели. ,positive
76385,"Супер быстрая доставка.Изюминка этой блузки это рукава,смотрится классно.Спасибо.",positive
5191,"Не знаю откуда такие восторженные отзывы в АйТао об этом свитере. Прочитала несколько, посмотрела параметры всех советчиков... в итоге сам короткий, ворс не везде пушистый, рукава короткие (ну это ещё ладно, пускай 3/4...) в груди он мне мал, подмышками складывается некрасиво. В-общем, одно расстройство! Мои параметры ог 88 т 70 об 91, рост 171. Будьте аккуратны!",negative
63538,"Доставка 2,5 недели.
Ткань плотная. Чувствуется шерсть.
Сарафан приятный на ощупь и полностью вторит фотографиям продавца.
P.S. пуговицы болтаются на соплях, но это не критично. Я их вообще сняла.",positive
13343,"продавец - фуфло. гнал туфту про отправку 20 дней. в итоге ни хрена не отправил. как открыл спор, сразу стал впаривать левый номер отслеживания. наебалово бывает и здесь ...",negative
46214,на фото с тапочками рассчитывала что с ними и придет а пришло не так расстроилась :(,neautral
13770,Походу я дождусь эту кофту только к зиме!!! Продавец 3-ой раз продляет срок защиты после открытия спора! Трэк не отслеживается!,negative
70926,Накапливает статическое электричество и немного бьёт током.,positive
74319,Рекомендую) на ОГ 105 лучше брать XXL,positive
46577,"Заказ шёл 3 с лишним месяца, но так и не дошёл. Через спор, спустя много сообщений, вернули деньги.",neautral
41957,"Куртка нормального качества,но я даже не понимаю на кого она сшита.Когда я ее застегнула,она вся перекосилась",neautral
7993,товар не пришёл. деньги вернули без проблем.,negative
64391,"Носочки легкие, хб, на лето для дома отлично мне подошли, смотрятся прикольно) мой размер 37 - все хорошо село",positive
36168,Куртка мала....Брала М  бордовую на 84-68-90 рост 165 вес 50.Очень маленькая как на ребеночка.,neautral
