,mention,class
79373,"очень уютная кофта, максимум на 46 размер",positive
52333,товар не пришёл. деньги вернули.,neautral
48060,"качество супер, но одна штанина короче другой и это очень заметно. как носить,  я не понимаю",neautral
22249,"УЖАСНО. ПРОДАВЕЦ ИГНОРИРУЕТ СООБЩЕНИЯ . БЛУЗКА В ПЛОХОМ СОСТОЯНИИ. ПРОДАВЕЦ ПРИКИДЫВАЕТСЯ , ЧТО НЕ ПОНИМАЕТ , О ЧЕМ ИДЁТ РЕЧЬ . THE WORST SHOP IN ALI.",negative
81505,супер пришла мега быстро),positive
77656,"Очень крутое платье, ткань хорошая, длинное на рост 175 по колено.Пришло за 10 дней!",positive
38481,нечаянно подтвердила получение еще  не пришло жду с нетерпением.,neautral
37106,"малы оказались, не угадали с размером",neautral
54992,Stunning! Great quality! Fast shipping,positive
14966,Заказ шёл почти 3месяца и в итоге не пришёл вообще!открыла спор!деньги не вернули!продавец общался отвратительно!не заказывайте!!!! ,negative
43652,"Юбка пришла мятая, после трех носок образовались катышки. Качество низкое. На один раз.",neautral
70652,довольна!;),positive
27143,"ждала товар 3 месяца! он так и не пришел. продавец продлевал заказ,но толку мало.",negative
10860,"Заказала s и он оказался огромный на меня, и даже на мою подругу у которой m. Какой это вообще был размер? В отзывах все писали, что они чуть ли не на маленького ребёнка, а оказалось, что на 45/160 они огромные",negative
69446,отличная майка,positive
2143,"Есть и клинышек м шортики, но вот колготки прям хрустят в руках. ",negative
61707,Классная :),positive
14162,"Очень злая, Заказала в марте, надеялась что к выпускному дочки 9 класс прийдет, нету, думаю на вручение грамат будет новая блузка и снова нет, честно, очень огорчилась. Защита закончилась, прадовец продлил заказ, защита прошла снова. Сейчас август 30, наконец вернули деньги,  все товары что я заказала в этом магазине пошли и купили что нужно к 1 сентября. Вывод: не рисковать чтоб не ждать у море погоды по пол года. Да и еще  совет продавцу: хотя-бы на большие суммы заказа делайте трек отслежеваемым, иначе я вообще сомневаюсь что его отправили, еще бесит когда вы выпрашиваете хороший отзыв хотя так подводите.",negative
71220,"отличная куртка! продавец посоветовал взять L, это хорошо, но я бы взяла всё-таки на размер больше...L мне впритык, кофту под низ не одеть",positive
82316,"Доставка супер-быстрая. Отдельно понравилось что есть вставочки в чашки, которые при случае можно вынуть. Буду заказывать уже себе парочку)))",positive
41090,"среднее качество, шло больше месяца. смотрится не плохо.",neautral
46853,"платье по размеру хорошо тянется, но ткань холодная синтетика и конечно зацепки на нем неизбежны. смотрится хорошо но к телу не приятно",neautral
12667,"Цвет, ужасный не то что на фото. Швы не аккуратные. ",negative
60936,"Шикарный боди, кружево мягкое, одевается и снимается очень легко! До СПб дошло за 2 недели, упаковка была вскрыта к сожалению, но товар цел",positive
81402,"Заказ был сделан 16.12,пришел 19.12. Посылка отслеживалась. Платье очень понравилось, качкство  хорошее, ткань приятная к телу, ниток не торчит. На свой 42 размер брала М, сидит идеально! Очень рекомендую!",positive
47744,"Доставка очень быстрая. Ткань колючая, к телу не очень приятная, блестки немного осыпаются.",neautral
43901,Дурацкая короткая пижама.,neautral
62850,"короткая. более укороченая часть закрывает пупок, и едва доходит до брюк. рост 170",positive
55258,отслеживается. шли долго,positive
19481,"пришли колготки с очень крупной сеткой, я заказывала меньше",negative
79355,"платье пришло чуть больше месяца, всё хорошо нет не каких прирыканий, советую это платье .подошло как на размер 54 и рост160 так и на размер 50-52 и рост170",positive
44550,"полоски разрезаны до самого живота, и кажется после первой же носки эти трикотажные полоски распустится на ниточки, очень разочарованная!",neautral
46063,"Очень яркие носки и мягкие ,буду носить ! Пришли быстро где-то за 15 дней ",neautral
52113,"Не подошел по фасону - ну это, как говорится, сам лопух :)
А если по качеству, то криво пришит левый карман",neautral
72077,"Спасибо продавцу, плащ отличный, доставка быстрая, 9дней, на свой рост 161 и вес 58 брала размер м, идеально село, единственное рукава длинноваты, но их можно внутри подвергнуть, буду ещё заказывать у этого продавца",positive
59312,"Отличные брюки. На рост 160 см в самый раз) на размер 46 29 то, что нужно!",positive
9204,"Не получила.Очень хотела

 рубашку,заплатила за платную доставку.Продавец долго отправлял,но где-то она у него и застряла.Деньги через 45 дней вернули",negative
82334,"Кофточка понравилась, качественный плотненький трикотаж, приятный телу, цвет точно такой, как на мониторе, описание полностью соответствует. На окружность груди 114  заказала ХL  согласно таблице, размер подошел. Спасибо продавцу. Доставка месяц.",positive
61549,"Джинсы супер!Заказываю уже  третьи.Первые себе,остальные подругам.Пришли за 3 недели.Тянутся отлично.Заказывайте на размер меньше.Продавец умничка.Успехов ему и процветания!",positive
7669,"Ужасный магазин, заказала носочики, ждала 5месяцев, так ничего не получила, продавец писал, подаждите, подаждите, сколько???? в итоге тишина...",negative
13548,"заказ так и не пришёл!заказывала ещё в ноябре 2017,а  когда заказ не пришёл до 1.01.18 хотела открыть спор,но спор не открыли и деньги не вернули!из-за таких не честных продавцов людям страшно заказывать у вас!",negative
64811,"Доставка как всегда быстрая! Заказываю в третий раз,буду заказывать ещё. Спасибо продавцу. Советую .",positive
30438,"Материал платья отвратительно, швы кривые, везде торчат нитки.  Не советую заказывать такое платье. Можно использовать как одежду для дома, не более.",neautral
37925,Шли очень долго до Екатеринбурга! ,neautral
19172,"Заказ ждала почти 2 месяца, он так и не пришел! Продавец отказывался возвращать деньги, но хорошо что в спор вмешалось AliExpress  и спор был закрыт в мою пользу! НЕ РЕКОМЕНДУЮ ЭТОГО ПРОДАВЦА!!!!!!!!",negative
80043,"Thank you very much. The product came quickly, I have not checked it yet !! Good seller!",positive
44547,"Будда красивая.описание не соответствует сильно маломерит брала ххl,на российский будет L.,поэтому ставлю 3",neautral
74502,Супер. Качество отличное.,positive
3791,"Ужасно недовольна заказом и продавцом в целом. мало того, что в описании указано ""мех ламы"", а на деле это овца. Так еще и размер вместо М прислали  то ли С, то ли ХС  ( остается только гадать, так как бирки с указанием размера нет). товар оооочень долго отправляли. Не советую ни этот товар, ни продавца в целом!",negative
43872,закатываются,neautral
6560,", заказывала перед этим две штуки пришли быстро. а эта где то застряла очень жаль мне они понравились.",negative
25162,рубаша пришла маленькая хотя и заказала XXL но всеравно малая размерчика на 2,negative
48376,"маленькое, ткань плохая. заказывали такое же оранжевое у другого продавца- ткань лучше, размер в пору. хотя сфотографировано на одной и той же фотомодели, а оказалось разное.",neautral
25095,Внутри ткань никакая! И очень сборок много,negative
21699,"шло очень долго, материал просвечивает, очень тонкий",negative
39996,пояс маленький,neautral
20899,NE PRIEHAL ! PIDORASI,negative
73699,"Качество неплохое, швы обработаны хорошо. Плохо, что нет подкладки. Размер 40 - 44 максимум, тогда будет смотреться как на фото. С продавцом не общалась.",positive
76833,"Отличные носочки, спасибо продавцу",positive
61699,шорты супер!!!! для дома в самый раз! закажу вторые!,positive
54986,Свитер понравился. Ничего выдающегося. Обычный свитер! Фото соответствует. Я довольна. ,positive
20641,"товар ждала 3 месяца, так и не пришел, очень жаль. спасибо продавцу, что вернул деньги!",negative
32805,"Брала М , хотя мой размер  хs/s. Очень короткий до пупка, очень обтягивает .Чтоб было как на фото свободно надо брать xl и чтоб рост был до 165 .",neautral
47620,"Бежевое пальто оказалось с оттенком розового. Не совсем то, чего ожидалось.
Khaki not the colour of the foto it is more rose",neautral
6299,"ужасно пошито,и написаные буквы все растекшиеся,по швам много дыр ,всех доказательств оказалось мало для возврата части денег,продавец даже не написал.....",negative
15536,"Заказ не получила(( очень его ждала. Деньги вернули, после окончания срока защиты",negative
73538,"Думала будут вязанные, а они чуть толще носков. Цвет тоже подкачал, не такой насыщенный, но за такую цену норм. По длине на рост 180 подошли, чуть выше колена, резинка узкая, лишний жирок на ляжках будет видно))) Доставка быстрая, с продавцом не общалась.",positive
42017,не в восторге от товара.пошито тяп ляп.,neautral
24611,"маломерки.куртка пришла грязная,и подкладка рваная.но продавец очень отзывчив вернул деньги!",negative
15852,Продавец долго отправлял посылку. В указанные сроки она так и не дошла. Деньги вернули. Очень жаль. ,negative
42965,"По качеству хорошо,чуть узковато",neautral
3965,"полностью не соответствует. сшито кривой,пуговицы отсутствуют,не понятно где перед где зад",negative
55446,очень понравилась,positive
11698,"заказывала в зеленом цвете - но получила черный, да ещё и с дыркой",negative
12974,"заказ не пришел, деньги не вернули, а я заказала 2 куртки и потеряла больше тысячи",negative
57874,"Доставка до Москвской обл. 2 недели. курьером на дом. Очень хорошее качество, Размер М на 46.",positive
47051,"Колючий!!! Шерсть если есть, то очень мало. На российский 46 -XXL обтянул, в плечах мал. ",neautral
7458,"Пришло быстро, но цвет не тот, что заказывала... расстроена.",negative
10,ткань приятная. вот только пятно на спине.,negative
34848,"ТОвар не пришел, деньги вернули",neautral
29186,Жаль что в описании не описано качество и фактура ткани /не соответствует картинке ,neautral
